新聞日前一工作日,,後推四日工作日,
2017/6/23,202.62,2017/6/28,201.17
2017/6/23,202.62,2017/6/28,201.17
2017/6/8,198.88,2017/6/13,194.21
2017/6/7,197.48,2017/6/12,193.75
2017/5/25,193.28,2017/5/31,189.54
2017/5/23,191.41,2017/5/31,189.54
2017/5/11,193.75,2017/5/16,190.94
2017/5/9,190.01,2017/5/15,192.34
2017/5/8,189.08,2017/5/12,192.34
2017/5/3,184.87,2017/5/8,189.08
2017/5/1,183.47,2017/5/5,184.41
2017/4/13,178.81,2017/4/18,175.54
2017/4/12,178.34,2017/4/17,175.07
2017/4/7,178.34,2017/4/12,178.34
2017/3/21,182.07,2017/3/27,180.21
2017/3/20,178.81,2017/3/24,179.74
2017/2/23,176,2017/3/1,173.67
2017/2/9,171.8,2017/2/14,175.07
2017/2/6,172.27,2017/2/10,173.2
2017/2/1,173.2,2017/2/6,172.27
2017/1/12,172.27,2017/1/17,169
2017/1/3,170.87,2017/1/9,171.8
2016/12/27,168.07,2017/1/3,170.87
2016/12/9,173.67,2016/12/14,175.07
2016/12/6,169.94,2016/12/12,172.74
